Time (s),Gauge Length (Pixels),Strain (%)
0.0,56.0,0.0
0.04,55.0,-1.7857142857142858
0.08,54.5,-2.6785714285714284
0.12,55.0,-1.7857142857142858
0.16,54.5,-2.6785714285714284
0.2,56.5,0.8928571428571429
0.24,54.5,-2.6785714285714284
0.28,56.5,0.8928571428571429
0.32,55.0,-1.7857142857142858
0.36,55.5,-0.8928571428571429
0.4,56.0,0.0
0.44,55.0,-1.7857142857142858
0.48,56.0,0.0
0.52,55.0,-1.7857142857142858
0.56,55.0,-1.7857142857142858
0.6,56.0,0.0
0.64,54.0,-3.5714285714285716
0.68,56.0,0.0
0.72,55.0,-1.7857142857142858
0.76,55.0,-1.7857142857142858
0.8,55.0,-1.7857142857142858
0.84,55.0,-1.7857142857142858
0.88,55.0,-1.7857142857142858
0.92,56.0,0.0
0.96,54.0,-3.5714285714285716
1.0,55.0,-1.7857142857142858
1.04,55.0,-1.7857142857142858
1.08,56.0,0.0
1.12,55.0,-1.7857142857142858
1.16,55.0,-1.7857142857142858
1.2,55.0,-1.7857142857142858
1.24,56.0,0.0
1.28,55.0,-1.7857142857142858
1.32,54.0,-3.5714285714285716
1.36,56.0,0.0
1.4,55.0,-1.7857142857142858
1.44,56.0,0.0
1.48,55.0,-1.7857142857142858
1.52,55.0,-1.7857142857142858
1.56,56.0,0.0
1.6,55.0,-1.7857142857142858
1.64,55.0,-1.7857142857142858
1.68,54.0,-3.5714285714285716
1.72,57.0,1.7857142857142858
1.76,55.0,-1.7857142857142858
1.8,55.0,-1.7857142857142858
1.84,56.0,0.0
1.88,55.0,-1.7857142857142858
1.92,55.0,-1.7857142857142858
1.96,55.0,-1.7857142857142858
2.0,55.0,-1.7857142857142858
2.04,56.0,0.0
2.08,55.0,-1.7857142857142858
2.12,54.0,-3.5714285714285716
2.16,57.0,1.7857142857142858
2.2,55.0,-1.7857142857142858
2.24,55.0,-1.7857142857142858
2.28,55.0,-1.7857142857142858
2.32,55.0,-1.7857142857142858
2.36,55.0,-1.7857142857142858
2.4,55.0,-1.7857142857142858
2.44,55.0,-1.7857142857142858
2.48,56.0,0.0
2.52,55.0,-1.7857142857142858
2.56,55.0,-1.7857142857142858
2.6,55.0,-1.7857142857142858
2.64,54.0,-3.5714285714285716
2.68,57.0,1.7857142857142858
2.72,55.0,-1.7857142857142858
2.76,55.0,-1.7857142857142858
2.8,55.0,-1.7857142857142858
2.84,55.0,-1.7857142857142858
2.88,56.0,0.0
2.92,55.0,-1.7857142857142858
2.96,54.0,-3.5714285714285716
3.0,56.0,0.0
3.04,55.0,-1.7857142857142858
3.08,56.0,0.0
3.12,56.0,0.0
3.16,56.0,0.0
3.2,58.0,3.5714285714285716
3.24,57.0,1.7857142857142858
3.28,57.0,1.7857142857142858
3.32,57.0,1.7857142857142858
3.36,58.0,3.5714285714285716
